,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
89,Imported Carz,4.8,372,Car dealer,"Palmerston North, New Zealand",+64 6 929 4951,http://www.importedcarz.co.nz/,"""At Imported Carz we have a fresh inventory of quality pre-owned vehicles at affordable prices. We are one of the most popular and fast-growing dealers of Japanese cars in the Manawatu Region. With over 100 cars in our stock and 30 cars in our yard,...  More"
90,Wholesale Autos,4.6,142,Used car dealer,"Takanini, New Zealand",+64 800 405 065,http://www.wholesaleautos.co.nz/,"""WHY WHOLESALE AUTOS? - Google Review Ratings: 4.7 stars out of 5 (138 Reviews) - Buyer Score Reviews Ratings: 4.7 Stars out of 5 (362 Reviews) - Over a decade of Industry experience -AA APPRAISED yard - Over 700 cars in stock - One year WOF from the...  More"
91,Croydon Wholesalers,4.8,160,Used car dealer,"Lincoln, New Zealand",+64 9 836 8314,https://www.croydons.co.nz/,N/A
92,MyNex Car,5.0,336,Car dealer,"Auckland, New Zealand",+64 27 326 5339,http://www.mynexcar.co.nz/,N/A
93,NZ Motors 4WD'S Limited,4.9,37,Car dealer,"Auckland, New Zealand",+64 210 230 0450,http://www.nzmotorsltd.co.nz/,N/A
94,Miles Continental Pre-owned Vehicles,4.9,76,Used car dealer,"Christchurch, New Zealand",+64 3 377 7144,https://www.milescontinental.co.nz/,"""View our used vehicle range, including quality used and ex-demonstrator Volkswagen vehicles, plus a wide selection of other makes and models. Trade-ins welcome. Delivery available throughout New Zealand. With a range of flexible finance options at...  More"
95,Enterprise Motor Group Hamilton,4.7,528,Used car dealer,"Hamilton, New Zealand",+64 800 215 112,http://www.enterprisecars.co.nz/,"""Enterprise Motor Group Hamilton is the go-to destination for quality used cars in Hamilton, New Zealand. With the largest selection of used utes and SUVs, Enterprise Motor Group Hamilton offers something for everyone. Whether you're looking for a...  More"
96,Auto Depot,4.8,85,Car dealer,"Christchurch, New Zealand",+64 800 001 198,https://www.autodepot.co.nz/,"""Trading since 2007, reputation is extremely important to us, this dealership is well known for quality and competitiveness, and we work very hard to keep it that way. We have very high referrals for very good reasons. We love what we do and we...  More"
97,INE Cars Limited,4.7,89,Used car dealer,"Auckland, New Zealand",+64 22 850 3669,http://www.inecars.co.nz/,"""Dealership in Central Auckland specializes in carefully selected used-small and medium size vehicles ranges from European, Japanese, and NZ new, procured both locally and overseas. Covers the whole of NZ market through its on-site and online purchase...  More"
98,2 Cheap Cars - Greenlane,4.1,152,Used car dealer,"Auckland, New Zealand",+64 9 666 0126,https://www.2cheapcars.co.nz/dealerships/auckland/greenlane?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-greenlane,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
99,New Zealand Vehicle Valuation,5.0,74,Used car dealer,"Christchurch, New Zealand",+64 274 324 325,http://www.nzvv.co.nz/,"""Your Dependable Vehicle Valuation Specialist. Are you selling a vehicle, and don’t want to be caught short by a low-ball offer, or at risk of a slow sale by asking too much? Or are you buying a vehicle and want to make sure you’re not paying too...  More"
100,EV City,4.9,568,Used car dealer,"Christchurch, New Zealand",+64 3 972 5505,http://www.evcity.kiwi/,"""EV City is New Zealand’s Premier EV Education and Sales Centre. Opened in 2018 EV City has quickly grown to employ a team of 5 who have quickly become known for their refreshing team approach to customer Service. Winners of the 2019 EV Sales and...  More"
101,Honda Store Newmarket,4.2,374,Used car dealer,"Auckland, New Zealand",+64 9 890 9030,https://www.honda.co.nz/find-a-store/auckland/honda-store-newmarket/,"""We offer full Dealership facilities including New Honda Sales and Used Vehicle Sales specialising in New Zealand new late model Honda's. In addition we have a full range of genuine Honda Parts and can arrange a WOF and re-licence for your vehicle...  More"
102,Aston Martin Auckland,4.8,53,Aston Martin dealer,"Auckland, New Zealand",+64 9 975 8080,N/A,"""Aston Martin Auckland is an authorised and official Aston Martin dealership dedicated to offering an unrivalled quality of service and expertise. We are committed to supporting all your Aston Martin needs and pride ourselves on providing an...  More"
103,M.I.K Autos,3.8,147,Used car dealer,"Auckland, New Zealand",+64 9 276 6693,http://www.mikautos.co.nz/,N/A
104,CARS R US,4.0,47,Used car dealer,"Auckland, New Zealand",+64 9 827 8787,http://www.carsrus.nz/,"""CARS R US - Quality Vehicle Dealership that aims to satisfy the needs of our Customers. Our Team offers Great Deals with Excellent Customer Service. MTA Approved Dealer with AA Certified High Quality Cras. We offer competitive finance with insurance...  More"
105,Enterprise Motor Group Manukau,4.3,106,Used car dealer,"Auckland, New Zealand",+64 800 215 202,https://www.enterprisecars.co.nz/branches/manukau.html,"""Enterprise Motor Group Manukau offers a large selection of second-hand used cars for sale including Utes, SUVs, people movers, and hatchbacks. Our friendly team can help with finding you a car and provide car finance that fits your needs. Visit the...  More"
106,Iseecars,5.0,96,Used car dealer,"Christchurch, New Zealand",+64 800 473 300,http://www.iseecars.co.nz/,N/A
107,Honda Store Wellington,4.4,192,Used car dealer,"Wellington, New Zealand",+64 4 913 4000,https://www.honda.co.nz/find-a-store/wellington-region/honda-store-wellington/,N/A
108,Superior Cars Limited,4.4,54,Used car dealer,"New Plymouth, New Zealand",+64 6 759 9992,https://www.superiorcars.co.nz/,N/A
109,Car City Auckland | Quality Second Hand Cars,4.0,46,Used car dealer,"Auckland, New Zealand",+64 9 277 6757,http://www.carcity.co.nz/,N/A
110,Vanz Motors Pinoy Tayo,4.9,76,Used car dealer,"Hamilton, New Zealand",+64 21 205 5940,http://www.vanzmotors.co.nz/,"""Vanz Motor Limited is a kiwi-Filipino owned company that import high quality cars direct from japan. We have access to 100,000 cars in japan from basic cars to luxury cars. We offer finance with competitive interest rate.We deliver nationwide and we...  More"
111,Best Cars 4 U,4.7,87,Used car dealer,"Auckland, New Zealand",+64 22 608 5322,https://www.bestcars4u.co.nz/,"""Best Cars 4 U is a company that you can trust to buy a car of your dream. We are New Lynn Best Used Car Dealers. Though we are new in the industry ,our staff members which comprise of salesmen, engineers and managers are highly experienced in the...  More"
112,Pacific Toyota Tauranga,4.4,309,Used car dealer,"Tauranga, New Zealand",+64 7 578 1099,http://www.pacifictoyota.co.nz/,"""Located in the heart of Tauranga, Tauriko, Whakatāne and Bayfair, our award-winning dealership group is one of the leading businesses in the Bay of Plenty. Our large and diverse customer base covers the vibrant mix of businesses, communities, rural...  More"
113,Rose City Cars,4.3,61,Used car dealer,"Palmerston North, New Zealand",+64 27 371 4478,http://www.rosecitycars.co.nz/,N/A
114,Universal Imports 1998 LTD,4.3,145,Used car dealer,"Auckland, New Zealand",+64 9 215 9646,http://www.universalimports.co.nz/,N/A
115,2 Cheap Cars - Wairau,2.8,140,Used car dealer,"Auckland, New Zealand",+64 9 666 0127,https://www.2cheapcars.co.nz/dealerships/auckland/wairau?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-wairau,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
116,Mahindra New Zealand,4.7,47,Car dealer,"Auckland, New Zealand",+64 800 282 726,https://www.mahindra.co.nz/,N/A
117,2 Cheap Cars - Penrose,3.3,452,Used car dealer,"Auckland, New Zealand",+64 9 666 0084,https://www.2cheapcars.co.nz/dealerships/auckland/penrose?utm_source=google-my-business&utm_medium=organic&utm_content_=gmb-penrose,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
118,Trade In Clearance,3.6,345,Car dealer,"Lower Hutt, New Zealand",+64 4 566 6484,http://www.tradeinclearance.co.nz/,N/A
119,AutoFlip New Zealand,5.0,11,Car dealer,"Auckland, New Zealand",+64 800 354 748,https://www.autoflip.co.nz/,"""Why sell your car with AutoFlip? Sell your car fast for the best trade-in price, without the hassle. Sit back while we negotiate for you. AutoFlip has licensed dealers across New Zealand, competitively bid to buy your car. List your car today, and...  More"
120,George Cars,4.8,36,Used car dealer,"Palmerston North, New Zealand",+64 27 515 2534,http://www.georgecars.co.nz/,N/A
121,U-Sell,4.2,105,Used car dealer,"Auckland, New Zealand",+64 9 444 4774,http://u-sell.co.nz/,N/A
122,Toyota New Zealand - Thames,4.7,16,Toyota dealer,"Thames, New Zealand",+64 7 868 7933,https://www.toyota.co.nz/,N/A
123,2 Cheap Cars - Botany,3.6,165,Car dealer,"Auckland, New Zealand",+64 9 666 0900,http://www.2cheapcars.co.nz/,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
124,ORIX Vehicle Sales | Palmerston North,4.4,41,Used car dealer,"Palmerston North, New Zealand",+64 6 350 9960,https://www.orix.co.nz/vehicle-sales?yard=palmerston-north,"""ORIX Vehicle Sales is New Zealand's leading retailer of ex-lease vehicles. Only the highest quality, NZ-new stock makes it onto our yards, complete with detailed service histories. Our friendly team are renowned for their pressure-free approach to...  More"
125,500 Autos Ltd.,4.3,89,Used car dealer,"Auckland, New Zealand",+64 21 284 8666,http://www.500autos.co.nz/,N/A
126,Auto Imports & Wholesale . AIWCARS,4.8,69,Auto broker,"Masterton, New Zealand",+64 6 370 8000,http://www.autoimportswholesale.co.nz/,N/A
127,Trendy Cars,4.9,59,Used car dealer,"Auckland, New Zealand",+64 22 422 8662,https://www.trendycars.co.nz/finance-application,N/A
128,Value Motors Lower Hutt,4.0,156,Car dealer,"Lower Hutt, New Zealand",+64 4 589 6289,http://www.valuemotors.co.nz/,"""The most diverse selection of vehicles in NZ! A real car lovers destination. We stock a fantastic range with something for everyone. All of our vehicles are thoroughly inspected prior to sale, serviced with new WOF and reg. Our experienced team are...  More"
129,Lamborghini Auckland,4.7,120,Car dealer,"Auckland, New Zealand",+64 9 975 8075,https://www.lamborghini.com/en-en/dealerships/lamborghini-auckland,N/A
130,Milestone Motors Carz | Used-car dealer | Auckland,4.5,46,Used car dealer,"Auckland, New Zealand",+64 22 348 3163,https://sites.google.com/view/milestone-motors/home,"""For over 30 Years, we're your Trusted Choice for used cars in Auckland (we offer door-to-door services, travel charges) 🚗 Many to Choose From: We've got many affordable cars for you, no matter your budget or how you live. 💰 Cars You Can Afford: We...  More"
131,Aotearoa Cars,4.9,12,Used car dealer,"Christchurch, New Zealand",+64 210 803 4788,https://www.aotearoacars.co.nz/,"""Welcome to Aotearoa Cars, your friendly local dealership with a wealth of experience in providing exceptional cars to Christchurch and Nationwide NZ! Whether you're in the market for a sleek, affordable option or seeking a more luxurious ride, we've...  More"
132,Kiwi Auto Motors,4.6,115,Motor vehicle dealer,"Lower Hutt, New Zealand",+64 210 442 032,http://www.kiwiautomotors.co.nz/,N/A
133,2 Cheap Cars - Manukau,3.1,117,Used car dealer,"Auckland, New Zealand",+64 9 666 0232,https://www.2cheapcars.co.nz/dealerships/auckland/manukau?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-manukau,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
134,U-Sell,4.0,157,Used car dealer,"Auckland, New Zealand",N/A,http://u-sell.co.nz/,N/A
135,King Street Cars,4.9,159,Used car dealer,"Upper Hutt, New Zealand",+64 4 527 7115,http://www.kingstreetcars.co.nz/,"""King Street Cars is Upper Hutt's trusted used car dealership, specialising in NZ New, Japanese and European vehicles. We aim to provide our customers with the regions best selection of cars & commercials and pride ourselves on offering exceptional...  More"
136,Autoterminal New Zealand,4.8,9,Used car dealer,"Auckland 2104, New Zealand",+64 9 257 0050,N/A,N/A
137,The Cheap Car Place Hamilton,3.4,109,Used car dealer,"Hamilton, New Zealand",+64 7 847 1869,http://www.thecheapcarplace.co.nz/,N/A
138,80 Motors,4.5,44,Used car dealer,"Christchurch, New Zealand",+64 210 840 1616,http://80motors.co.nz/,N/A
139,Morrell Motors,4.8,255,Car dealer,"Taupō, New Zealand",+64 7 378 5759,https://www.morrellmotors.co.nz/,"""Morrell Motors is the authorised Parts and Service Centre for Mercedes-Benz, Subaru, Fiat, Fiat Professional, Alfa Romeo Jeep, RAM, Chrysler and Dodge. Our mission is to provide customers with a full range of automotive services under one roof so...  More"
140,Giltrap Group,4.6,107,Used car dealer,"Auckland, New Zealand",N/A,https://www.giltrap.com/,N/A
141,ICAR AUTO NZ,3.7,92,Used car dealer,"Auckland, New Zealand",+64 800 968 968,https://icarautonz.co.nz/,N/A
142,Affordable Car Sales,4.6,195,Used car dealer,"Christchurch, New Zealand",+64 3 358 3721,https://affordablecarsales.co.nz/,"""Discover a new way to buy a car with Affordable Car Sales in Burnside. Our journey began as a rental car company selling used stock, and now we have our own car sales yard, retaining our unique charm and spirit. We're not your average car dealers!...  More"
143,2 Cheap Cars - Palmerston North,3.9,167,Used car dealer,"Palmerston North, New Zealand",+64 6 777 5047,https://www.2cheapcars.co.nz/dealerships/palmerston-north/palmerston-north?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-palmerston%20north,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
144,The Trade In Hub,5.0,49,Used car dealer,"Auckland, New Zealand",+64 9 949 1999,http://www.thetradeinhub.co.nz/,N/A
145,Drive And Save Motors,4.5,40,Car dealer,"Auckland, New Zealand",+64 20 488 3388,http://www.dnsmotors.co.nz/,N/A
146,Great Motors,3.5,107,Used car dealer,"Auckland, New Zealand",+64 9 818 8881,http://www.greatmotors.co.nz/,N/A
147,Mike Vinsen Motors,4.4,78,Used car dealer,"Auckland, New Zealand",+64 9 826 0040,http://www.mikevinsen.co.nz/,N/A
148,BMW Group New Zealand,4.5,20,Car dealer,"Auckland, New Zealand",+64 800 639 269,http://www.bmw.co.nz/,N/A
149,ICHINEN AUTOS (N.Z.) Penrose,4.6,71,Used car dealer,"Auckland, New Zealand",+64 800 119 619,https://www.ichinenautos.co.nz/?utm_source=google&utm_medium=gmb&utm_term=&utm_content=website&utm_campaign=website,"""Ichinen Autos Ltd. is your one-stop hybrid used cars dealership in Auckland. We have built our reputation as a leading second hand car dealership in Auckland with our unique advantage of having the best hybrid selection from our parent company in...  More"
150,Auto Access NZ Ltd - 24/7 Online,4.8,22,Used car dealer,"Auckland, New Zealand",+64 800 437 087,https://www.autoaccess.co.nz/,N/A
151,Hey Motors North Shore,4.4,73,Used car dealer,"Auckland, New Zealand",+64 9 444 4774,https://www.heymotors.co.nz/,N/A
152,Jan Japan Motors - East Tamaki,4.2,202,Used car dealer,"Auckland, New Zealand",+64 9 972 1204,http://www.janjapan.co.nz/,N/A
153,EZ Motors,4.1,135,Used car dealer,"Auckland, New Zealand",+64 800 396 686,http://www.ezmotors.co.nz/,N/A
154,Mitsubishi Motors New Zealand Limited,4.5,31,Mitsubishi dealer,"Porirua, New Zealand",+64 800 545 352,http://www.mmnz.co.nz/,N/A
155,Wellington Motor Company,4.9,36,Car dealer,"Wellington, New Zealand",+64 22 030 4444,http://www.wellingtonmotorcompany.co.nz/,"""Welcome to Wellington Motor Company. OPEN MONDAY TO SATURDAY 9AM TO 3PM OR CALL FOR AN APPOINTMENT AFTER HOURS. Wellington Motor Company is 100% Wellington owned and operated. All our freshly imported stock has been handpicked and includes Odometer Certification, Service & VTNZ Compliance Safety Check as well as all on-road costs! With over 25 years combined industry experience Cameron and Matthew hope to be able to help you find your next vehicle."""
156,Merit Cars,4.4,55,Used car dealer,"New Plymouth, New Zealand",+64 6 281 1926,http://meritcars.co.nz/,N/A
157,Lexus of Auckland City,4.5,188,Used car dealer,"Auckland, New Zealand",+64 9 370 0227,http://www.lexusofaucklandcity.co.nz/,"""The Lexus you own is the result of a passionate pursuit of perfection. It is a supreme expression of quality, luxury and style. The Lexus philosophy of ‘The Pursuit of Perfection’ challenges us to provide our discerning customers with the joy of...  More"
158,Giltrap Prestige,4.8,8,Used car dealer,"Auckland, New Zealand",+64 9 360 3202,http://www.giltrap.com/,N/A
159,Auckland City Car Fair,3.8,141,Used car dealer,"Auckland, New Zealand",+64 21 932 287,http://www.aucklandcitycarfair.co.nz/,N/A
160,Manawatu Toyota,4.4,278,Toyota dealer,"Palmerston North, New Zealand",+64 6 356 7169,http://www.manawatu.toyota.co.nz/,"""We offer you the best range of Toyota new and used vehicles, and our Toyota trained technicians to look after your vehicle, we have Toyota Genuine parts and accessories and a great selection of financing options through Toyota Finance, plus, a great...  More"
161,Drivetown,4.1,47,Used car dealer,New Zealand,+64 9 527 3457,http://www.drivetown.co.nz/,N/A
162,ProMotors,4.6,93,Used car dealer,"Auckland, New Zealand",+64 210 241 7174,http://www.promotors.co.nz/,N/A
163,New Age Cars,4.5,43,Car dealer,"Auckland, New Zealand",+64 9 276 1000,http://www.newagecars.co.nz/,"""Stockist of AA Appraised pre-owned vehicles located in Otahuhu, Auckland. We treat the needs of each individual customer with paramount concern. We are committed in all aspects of selling high quality cars. Allow us to demonstrate our commitment to...  More"
164,Mainly Cars,4.6,44,Car dealer,"Palmerston North, New Zealand",+64 6 356 4642,http://www.mainlycars.kiwi/,N/A
165,Discount City Cars,4.1,132,Used car dealer,"Waitakere, New Zealand",+64 9 827 6079,https://www.discountcitycars.co.nz/,N/A
166,Autoclassics,4.7,14,Car dealer,"Paraparaumu, New Zealand",+64 4 298 2886,http://www.autoclassics.co.nz/,N/A
167,2 Cheap Cars - Wellington,3.1,197,Used car dealer,"Lower Hutt, New Zealand",+64 4 589 0267,https://www.2cheapcars.co.nz/dealerships/wellington/wellington?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-lower%20hutt,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
168,Lion Motors,4.4,16,Used car dealer,"Tauranga, New Zealand",+64 210 864 9929,N/A,N/A
169,Wholesale Direct Importers,4.5,31,Car dealer,"New Plymouth, New Zealand",+64 6 758 2651,https://wholesaledirectimporters.co.nz/,N/A
170,"Paul Kelly Motor Company $11,990 | SUV & UTE",4.6,79,Used car dealer,"Christchurch, New Zealand",+64 3 365 9204,http://www.paulkelly.co.nz/,N/A
171,Motorcade,4.5,55,Used car dealer,"Auckland, New Zealand",+64 9 525 3040,http://www.motorcade.co.nz/,"""Motorcade is a used car dealer based in Penrose, Auckland, and consists of a passionate team with a combined extensive experience in the industry of over 30 years. We realised it was time for us to serve the community with a professional business...  More"
172,Dean Automotive,4.7,22,Car dealer,"Auckland, New Zealand",+64 9 633 0232,http://www.deanautomotive.co.nz/,N/A
173,New Age Cars,4.7,16,Car dealer,"Auckland, New Zealand",+64 9 276 1000,http://www.newagecars.co.nz/,N/A
174,Rutherford & Bond Toyota Porirua,4.3,155,Toyota dealer,"Wellington, New Zealand",+64 4 237 6104,https://www.toyota.co.nz/rutherford-bond-toyota-king-toyota/?addealer=rutherford-bond-king-toyota,N/A
175,Nissan New Zealand - Nelson Bays Nissan,4.7,15,Nissan dealer,"Nelson, New Zealand",+64 3 546 9232,http://www.nissan.co.nz/,N/A
176,Max Motors,4.5,51,Used car dealer,"Lower Hutt, New Zealand",+64 4 569 4488,N/A,N/A
177,2 Cheap Cars - Westgate,4.0,39,Used car dealer,"Auckland, New Zealand",+64 9 869 3031,https://www.2cheapcars.co.nz/dealerships/auckland/westgate,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
178,Cartown,4.7,141,Car dealer,"Palmerston North, New Zealand",+64 6 355 2000,https://www.cartown.co.nz/,"""Cartown has been operated by the current owners, Stephen and Jo Coutts, for over 25 years. We have strived to develop a company with a reputation for delivering great cars with great service by great people! We have also secured the Great Wall, MG,...  More"
179,Waimak Classic Cars,4.5,17,Car dealer,"Leithfield, New Zealand",+64 3 310 6485,https://www.waimakclassiccars.co.nz/,N/A
180,Ute Nation - Premium Used Utes & 4WDs - Christchurch,5.0,39,Used car dealer,"Christchurch, New Zealand",+64 210 894 1897,http://www.utenation.co.nz/,N/A
181,King Toyota,4.3,218,Toyota dealer,"Lower Hutt, New Zealand",+64 4 920 7770,https://www.toyota.co.nz/rutherford-bond-toyota-king-toyota/?addealer=rutherford-bond-king-toyota,N/A
182,Devonport Car Co.,5.0,35,Used car dealer,"Auckland, New Zealand",+64 21 518 348,http://www.devcars.co.nz/,"""Established in 1995, Devonport Car Company or Devcars to the locals, has been providing quality, pre-owned, vehicles to their loyal client base for over 25 years. Specialising in high grade, fresh imports from Japan, you get to deal with the owner...  More"
183,Blenheim Toyota,4.5,79,Toyota dealer,"Blenheim, New Zealand",+64 3 578 4319,https://www.toyota.co.nz/blenheim-toyota/,"""Welcome to Blenheim Toyota, your go-to destination for new and used Toyota cars in Marlborough. We offer outstanding customer service, expert advice and top-quality servicing. Visit us for a seamless car-buying experience and explore our extensive...  More"
184,Trade M Autos,4.5,42,Car dealer,"Palmerston North, New Zealand",+64 6 359 0553,http://trademautos.co.nz/,"""TradeMautos is your one-stop-shop for quality used vehicles in the Manawatu region. Our team is totally committed to its customers and their motoring needs, including vehicle finance and insurance. TradeMautos is a part of the Robertson Motor Group...  More"
185,O'Reilly's Garage,4.7,39,Car dealer,"Lower Hutt, New Zealand",+64 21 319 992,https://www.oreillysgarage.co.nz/,"""O’Reilly’s Garage is Wellington’s most interesting independent dealership. We stock some of the best models from the world’s finest car manufacturers. Our success has been built by every team member working together and contributing to our one team...  More"
186,Tasman Toyota | New Plymouth Car dealer,4.7,30,Toyota dealer,"New Plymouth, New Zealand",+64 6 769 9933,https://www.toyota.co.nz/tasman-toyota/,"""Tasman Toyota was formed in 2002, evolving from Gray & Inch Toyota, the original company being established in 1946. The dealership is New Zealand's longest operating Toyota franchise, and has been trading on its current site since 1963. The premises...  More"
187,Honda Store Christchurch,4.5,301,Used car dealer,"Christchurch, New Zealand",+64 3 940 3000,https://www.honda.co.nz/find-a-store/upper-south-island/honda-store-christchurch/,N/A
188,Vehicles Under $6990,4.4,64,Car dealer,"Christchurch, New Zealand",+64 274 661 661,http://vehiclesunder6990.co.nz/?utm_source=GBP&utm_medium=organic&utm_campaign=gbptraffic,"""At Vehicles Under $6990, we have one goal, to provide every New Zealander with an affordable, quality car for less. We base our entire approach around honesty, reliability and fantastic value for money. We stand by what we sell 100% and believe by...  More"
189,Sales on behalf,5.0,92,Car dealer,"Auckland, New Zealand",+64 21 664 205,https://www.salesonbehalf.co.nz/,N/A
190,You-Cars limited,4.0,46,Used car dealer,"Palmerston North, New Zealand",+64 27 721 0111,http://www.youcars.co.nz/,"""🏎️We are your local boutique Mazda Dealer specialising in Mazda Axela, Atenza, Demio, , Mazda 2, Mazda 3, Mazda 6. 💖Our Mazda’s stand out from the usual boring “ 2 Cheap” style cars with our In-House Lip Kit & Mag Wheel options. We also offer BMW...  More"
191,Cars Unlimited,5.0,2,Car dealer,"Auckland, New Zealand",+64 21 960 432,http://www.carsunlimited.co.nz/,N/A
192,Gazley Mitsubishi,4.4,127,Mitsubishi dealer,"Wellington, New Zealand",+64 4 385 2252,http://www.gazleymitsubishi.com/,N/A
193,Deken Motors,4.4,47,Used car dealer,"New Plymouth, New Zealand",+64 6 759 9943,http://dekenmotors.co.nz/,"""Welcome to DEKEN MOTORS based in New Plymouth. Formally Hareb Deken Motors, Ton Deken is charging on with DEKEN MOTORS. Along with high-end SUV’s, 4WD’s & Euros - Deken Motors focus moving forward is ELECTRIC (EV). What keeps Ton in the industry is...  More"
194,Carme,4.9,126,Car dealer,"Upper Hutt, New Zealand",+64 4 472 2226,https://carme.co.nz/,N/A
195,Cooper Auto Company,5.0,58,Used car dealer,"Lower Hutt, New Zealand",+64 4 586 2295,http://www.cooperauto.co.nz/,N/A
196,Armstrong's Audi Wellington,4.3,110,Audi dealer,"Wellington, New Zealand",+64 4 384 8779,https://www.armstrongs.co.nz/dealership/audi-wellington/?utm_source=GBP&utm_medium=GBP&utm_id=APW-AUDI,"""Armstrong's Audi Wellington is the premier destination for Audis, for greater Wellington and the lower North Island. Being an official Audi dealership, we offer an unparalleled selection of Audi cars, backed by an expert team. We also offer...  More"
197,Rutherford & Bond Toyota,4.2,223,Toyota dealer,"Wellington, New Zealand",+64 4 385 1889,https://www.toyota.co.nz/rutherford-bond-toyota-king-toyota/?addealer=rutherford-bond-king-toyota,N/A
