,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
198,The Car Company Ltd Head Office,4.3,77,Car dealer,"Nelson, New Zealand",+64 3 546 6550,https://www.carcompanynelson.co.nz/,"""We are The Car Company Limited, locally owned and operated for over 27 years, with over 500 vehicles for sale across 4 branches all located in the Nelson region. We are the BYD Dealership for the upper South Island which will be located at our branch...  More"
199,非凡好车,4.5,159,Car dealer,"Auckland, New Zealand",+64 22 083 6533,http://isellcarsnz.co.nz/,N/A
200,Wade Cars,4.6,14,Car dealer,"New Plymouth, New Zealand",+64 6 758 6368,http://www.wadecars.co.nz/,N/A
201,McKendry Ford,4.6,58,Ford dealer,"Blenheim, New Zealand",+64 3 578 5359,http://www.mckendryford.co.nz/,N/A
202,Jim Wright Nissan - Hamilton,4.0,126,Nissan dealer,"Hamilton, New Zealand",+64 7 839 0777,https://www.jimwrightnissan.co.nz/,N/A
203,Vehicle Direct Otahuhu,3.8,123,Used car dealer,"Auckland, New Zealand",+64 9 259 4449,https://www.vehicledirect.co.nz/,"""Vehicle Direct is dedicated to providing our customers with the best car buying experience. With over 700 cars to choose from we can cater to all your needs. Visit us at 30 Great South Road Otahuhu for your next vehicle. Affordable prices and good...  More"
204,Portage Cars Napier,4.7,28,Used car dealer,"Napier, New Zealand",+64 21 152 5172,http://www.portagecars.co.nz/,"""As one of the largest used car dealerships in New Zealand, Portage Cars offers a hassle-free car buying experience. With a vast selection of Hatchbacks, Sedans, Station Wagons, People Movers, Commercial Vans, Trucks and Caravans, you're sure to find...  More"
205,TRC Toyota - Levin,4.7,84,Toyota dealer,"Levin, New Zealand",+64 6 368 6089,https://www.toyota.co.nz/manawatu-trc-toyota/,N/A
206,Armstrong's Peugeot Auckland,4.1,103,Peugeot dealer,"Auckland, New Zealand",+64 9 601 9700,https://www.armstrongs.co.nz/dealership/peugeot-auckland/,"""Armstrong's Peugeot Auckland is your trusted dealership for central and greater Auckland area. Located in Greenlane we offer an extensive range of premium new and used Peugeot cars, perfect for navigating the busy city streets or the scenic...  More"
207,Armstrong's Citroen Auckland,4.1,98,Used car dealer,"Auckland, New Zealand",+64 9 601 9700,https://www.armstrongs.co.nz/dealership/citroen-auckland/?utm_source=GOOGLE&utm_medium=GBP&utm_id=AGL-CIT,"""Armstrong's Citroen Auckland is your trusted dealership for central and greater Auckland area. Located in Greenlane, we offer a full range of new & used Citroen cars and a team of expert sales specialists. Our service department boasts the latest...  More"
208,Rotorua Toyota,4.3,169,Used car dealer,"Rotorua, New Zealand",+64 7 345 9199,https://www.toyota.co.nz/rotorua-toyota/,N/A
209,Vehicle Direct Manurewa 321,4.3,56,Used car dealer,"Auckland, New Zealand",+64 9 266 8439,https://www.vehicledirect.co.nz/,N/A
210,M G Car Company New Zealand,4.5,2,Car dealer,"Katikati, New Zealand",+64 7 549 4251,http://www.mgcarco.com/,N/A
211,Sithari Cars,4.2,50,Used car dealer,"Auckland, New Zealand",+64 9 836 6300,http://www.sitharicars.co.nz/,N/A
212,2 Cheap Cars - Te Rapa Hamilton,3.7,56,Used car dealer,"Hamilton, New Zealand",+64 7 444 4007,https://www.2cheapcars.co.nz/dealerships/hamilton/hamilton,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
213,Automarque BYD,4.3,30,Car dealer,"Lower Hutt, New Zealand",+64 4 589 8600,http://www.automarque.co.nz/,N/A
214,Right Price Motors,4.8,16,Used car dealer,"Auckland, New Zealand",+64 9 534 0036,N/A,N/A
215,NZ Light Commercials - Used Light Commercial Dealers,4.6,8,Used truck dealer,"Takanini, New Zealand",+64 9 299 9182,http://www.nzlightcommercials.co.nz/,N/A
216,Turners Cars Nelson,4.0,40,Used car dealer,"Nelson, New Zealand",+64 800 887 637,http://www.turners.co.nz/,"""Consistently voted NZ's most trusted used vehicle dealership, Turners has been helping Kiwis buy & sell for over 50 years. We're NZ's largest, with over 20 branches nationwide most of which are open 7 days. We accept trade ins, will sell on your...  More"
217,TRC Toyota Feilding,4.6,101,Toyota dealer,"Feilding, New Zealand",+64 6 323 4117,https://www.toyota.co.nz/manawatu-trc-toyota/,"""TRC Toyota is your one stop for all your automotive needs – from new and used vehicles, finance, to our full mechanical workshop and access to genuine Toyota Parts and accessories. Our awesome TRC Toyota Feilding store holds the current national...  More"
218,"Johnston Ebbett Porirua - Kia, BYD, Holden & GMSV",4.4,107,Car dealer,"Porirua, New Zealand",+64 4 238 4660,http://www.johnstonebbett.co.nz/,"""Welcome to Johnston Ebbett, home of Kia, BYD and Holden. Our Porirua dealership is conveniently located in the hearts of town, our expert team provide a customer focussed service, designed to make purchasing your next vehicle easy. We accept...  More"
219,Shelby New Zealand,5.0,2,Car dealer,"Matamata, New Zealand",+64 27 500 2875,https://shelbynz.co.nz/,N/A
220,East West Cars Christchurch,4.1,30,Motor vehicle dealer,"Christchurch, New Zealand",+64 21 215 2569,http://www.eastwestcars.co.nz/,N/A
221,ORIX Vehicle Sales | Christchurch,4.6,20,Used car dealer,"Christchurch, New Zealand",+64 3 353 1900,https://www.orix.co.nz/vehicle-sales?yard=christchurch,"""ORIX Vehicle Sales is New Zealand's leading retailer of ex-lease vehicles. Only the highest quality, NZ-new stock makes it onto our yards, complete with detailed service histories. Our friendly team are renowned for their pressure-free approach to...  More"
222,"Ebbett Pukekohe - Kia, Nissan, VW, MG & Holden",4.5,188,Used car dealer,"Pukekohe, New Zealand",+64 9 237 0710,http://ebbettpukekohe.co.nz/,"""Welcome to Ebbett Pukekohe home of Kia, Nissan, MG & VW. With our new custom-built dealership, we offer an extensive range of products and our expert team provides a customer-focused service, designed to make purchasing your next vehicle easy. We...  More"
223,Continental Cars Used,5.0,2,Used car dealer,"Auckland, New Zealand",+64 9 526 6968,https://www.continentalcars.co.nz/?utm_source=google&utm_medium=gmb&utm_campaign=local_seo,"""Continental Cars Used is a trusted dealership specializing in high-quality used cars for sale in Auckland. They offer a wide selection of cars to suit diverse needs and budgets. If you are looking for used cars in Auckland then visit us in New...  More"
224,Tristram Omoda | Jaecoo,3.8,45,Car dealer,"Auckland, New Zealand",+64 9 553 9375,https://www.tristrameuropean.co.nz/,N/A
225,Continental Cars BMW Wellington,4.2,133,Used car dealer,"Wellington, New Zealand",+64 4 499 9030,https://www.ccbmwwellington.co.nz/,"""Continental Cars BMW Wellington is the Wellington region's exclusive authorised BMW NZ dealership. With an wide range of both new and used cars and on-site carparking, we make visiting our Wellington dealership easy. Our New and Approved Used BMW's...  More"
226,Car Connection,4.9,7,Car dealer,"New Plymouth, New Zealand",+64 27 270 4531,https://carconnection.net.nz/,N/A
227,Ian Humphrey Motors,4.3,60,Used car dealer,"Palmerston North, New Zealand",+64 6 355 5761,http://www.ianhumphrey.co.nz/,"""Ian Humphrey Motors is a centrally based vehicle dealership that is owned and operated by Ian and Kerry Humphrey. This father and son team have been buying and selling quality late model New Zealand new vehicles for over 17 years. Ian Humphrey...  More"
228,Blackett Motors,4.7,3,Used car dealer,"Te Awamutu, New Zealand",+64 800 262 277,N/A,"""Welcome to Blackett Motors we take pride in making sure youre looked after. Finance We have a range of finance products to suit everyone. Call our finance expert to discuss purchasing your next vehicle. Insurance We are up to date on the latest...  More"
229,Christchurch BMW,4.4,151,BMW dealer,"Christchurch, New Zealand",+64 3 363 7240,https://www.christchurchbmw.co.nz/,N/A
230,Auckland 4WD's,5.0,43,Used car dealer,"Auckland, New Zealand",+64 21 106 5201,http://www.auckland4wds.co.nz/,"""Welcome to our car dealership in Auckland! We specialise in providing a wide selection of high-quality Utes, trucks, and 4WD vehicles to help you find the perfect vehicle for your needs. Whether you’re in need of a rugged and reliable truck for your...  More"
231,Hyundai New Zealand,3.7,40,Manufacturer,"Auckland, New Zealand",+64 800 498 632,http://www.hyundai.co.nz/,N/A
232,Kerry Harvey Autos,4.3,40,Motor vehicle dealer,"Palmerston North, New Zealand",+64 6 355 5977,https://www.kerryharveyautos.co.nz/,N/A
233,Vehicle Import Centre,4.5,23,Car dealer,"Auckland, New Zealand",+64 800 750 751,http://www.vehicleimportcentre.co.nz/,N/A
234,Bowater Hyundai,4.4,48,Hyundai dealer,"Nelson, New Zealand",+64 3 545 8032,http://www.bowaterhyundai.co.nz/,N/A
235,Driven Auto Sales,3.7,77,Used car dealer,"Tauranga, New Zealand",+64 7 579 9169,http://www.drivenauto.co.nz/,N/A
236,Indy Cars Ltd,4.1,43,Used car dealer,"Christchurch, New Zealand",+64 21 585 341,N/A,N/A
237,Hung Motors,4.2,46,Used car dealer,"Auckland, New Zealand",+64 9 526 4807,http://www.hungmotors.co.nz/,N/A
238,Lexus Of Hawkes Bay,4.9,15,Car repair and maintenance service,"Hastings, New Zealand",+64 6 872 8222,http://www.lexusofhawkesbay.co.nz/,N/A
239,Armstrong's Subaru Lower Hutt,4.3,145,Used car dealer,"Lower Hutt, New Zealand",+64 4 385 9508,https://www.armstrongs.co.nz/dealership/subaru-lower-hutt/?utm_source=GOOGLE&utm_medium=GBP&utm_id=AWLR-SU,"""Armstrong's Subaru Lower Hutt is your accredited Subaru dealer for the Wellington area, featuring an extensive selection of both brand-new and used Subaru cars, supported by an expert sales team. Our advanced service center is furnished with the...  More"
240,Onlineautoshb limited,4.6,34,Used car dealer,"Napier, New Zealand",+64 6 974 8161,http://www.onlineautoshb.co.nz/,"""Online vehicle sales with perfect feedback on trademe since 2008 which was when we were established. Vehicles sales and delivery nationwide. Our vehicles undergo an AA mechanical inspection upon arrival and undergo an extensive presentation process...  More"
241,Autolink Electric Vehicles,4.4,64,Used car dealer,"Auckland, New Zealand",+64 800 378 9090,http://www.autolinkcars.co.nz/,"""Autolink EV are experts in electrical vehicles, specialising in them for over 10yrs. Open 7 days with a large range of high quality EVs in stock, onsite and ready to go! You can drive away stress free and start saving on money and emissions with your...  More"
242,Gazley Volkswagen,4.2,24,Volkswagen dealer,"Wellington, New Zealand",+64 4 381 3000,https://www.gazleyvw.com/,"""Gazley Volkswagen is the award winning home of Volkswagen in the Lower North Island. With over 25 years in the Capital, Gazley Motor Group is a staunchly proud Wellington based business with a long history of quality customer service. Representing...  More"
243,黑殿 Infinity Auto Imports,4.0,74,Motor vehicle dealer,"Auckland, New Zealand",+64 9 827 5854,http://www.infinityautoimports.co.nz/,N/A
244,"Motorworld Blenheim - Kia, Suzuki, Volkswagen & Isuzu",4.2,103,Used car dealer,"Blenheim, New Zealand",+64 3 578 5199,https://www.motorworld.co.nz/,N/A
245,Giltrap Porsche,4.8,76,Porsche dealer,"Auckland, New Zealand",+64 9 920 0911,http://www.giltrapporsche.co.nz/,"""Giltrap Porsche resides within our Giltrap Motor Group dealership, specializing in NZ new & used Porsche. We also house the countries leading Porsche Service workshop, with factory trained technicians & genuine Porsche parts. All Porsche through our...  More"
246,Archibalds Audi,4.4,115,Used car dealer,"Christchurch, New Zealand",+64 3 377 5200,https://archibalds.co.nz/audi/,"""Welcome to the home of Audi. Located in Christchurch, we're your official Audi dealer for sales, service, parts, accessories, and finance in Canterbury, Tasman, Marlborough, and the West Coast. We're also the home of Audi Sport and Audi e-tron,...  More"
247,TRC Toyota Whanganui,4.5,145,Used car dealer,"Whanganui, New Zealand",+64 6 348 8850,https://www.toyota.co.nz/manawatu-trc-toyota/,"""We are proud to provide you with excellent service designed to satisfy all your vehicle requirements. We are your one-stop shop for all things related to your vehicle. Whether your car needs a tune up, or you are looking for a replacement car we can...  More"
248,Sun City Motors,3.8,12,Car dealer,"Appleby, New Zealand",+64 3 544 8869,https://www.suncitymotors.co.nz/,N/A
249,Adopt A Car Limited,4.0,35,Used car dealer,"Palmerston North, New Zealand",+64 27 288 7933,http://www.adoptacar.co.nz/,N/A
250,Lexus of Wellington,4.3,18,Lexus dealer,"Wellington, New Zealand",+64 4 802 0610,https://www.lexus.co.nz/en/dealers/wellington/about.html,N/A
251,Dayman's,4.4,26,Used car dealer,"Nelson, New Zealand",+64 3 546 9232,http://www.daymans.co.nz/,N/A
252,AutoNation,4.4,34,Car dealer,"Auckland, New Zealand",+64 22 590 2644,http://www.autonationnz.co.nz/,"""Welcome to AutoNation, We are a licensed motor vehicle trader (RMVT: M405254 ) AutoNation is all about delivering quality used vehicles to each valued customer and giving customers a lifetime happy motoring experience. We pride ourselves on offering...  More"
253,LDV New Zealand,4.3,7,Motor vehicle dealer,"Taupō, New Zealand",+64 7 376 1516,http://www.ldv.co.nz/,N/A
254,Brent Wiley Wholesale Cars,4.4,8,Car dealer,"Whakatāne, New Zealand",+64 7 307 8533,http://www.brentwileywholesalecars.co.nz/,N/A
255,MS Ford,4.5,80,Used car dealer,"Nelson, New Zealand",+64 3 548 9189,https://www.msford.co.nz/,"""At MS Ford, we have over 80 years of experience in the automotive industry and are proud to be based in Nelson. Since our inception, we have been dedicated to meeting the vehicle needs of our customers, whether they are looking for their first car, a...  More"
256,Capital City Ford,4.5,202,Used car dealer,"Lower Hutt, New Zealand",+64 4 802 8750,https://www.capitalcityford.co.nz/,"""We are a multi-award winning business that has been helping Wellington motorists find the perfect vehicle since 1923. Above all, providing our customers with an exceptional experience is what drives us to succeed and our team of over 120 staff across...  More"
257,Armstrong's Opel Christchurch,4.7,12,Used car dealer,"Christchurch, New Zealand",+64 3 367 2980,https://www.armstrongs.co.nz/dealership/armstrongs-opel-christchurch-2/?utm_source=GOOGLE&utm_medium=GBP&utm_id=RAM-OP,"""Armstrong's Opel Christchurch is your trusted dealership for the greater Canterbury region. Located in Central Christchurch, we offer an extensive range of premium new and used Opel cars, perfect for navigating the busy city streets or the scenic...  More"
258,13Autos.co.nz,3.7,3,Used car dealer,"Hamilton, New Zealand",+64 27 215 0714,http://www.13autos.co.nz/,N/A
259,Brendan Foot Supersite Wellington,4.4,89,Car repair and maintenance service,"Wellington, New Zealand",+64 4 384 9908,http://www.brendanfoot.co.nz/,N/A
260,GM car wholesalers Ltd,3.9,17,Car dealer,"Auckland, New Zealand",+64 9 276 2222,http://www.gmcars.co.nz/,"""GM Car Ltd Limited was started in August 2000 as a Motor Vehicle Importing firm. GM CAR LIMITED provide its services to all the motor vehicle dealers in the greater Auckland area. GM Car Ltd was setup to service clientele with adverse credit and...  More"
261,Value Priced Cars LMVD,4.8,5,Used car dealer,"Palmerston North, New Zealand",+64 6 358 0922,https://www.valuepricedcars.co.nz/,N/A
262,Tesla Wellington,4.9,14,Tesla showroom,"Wellington, New Zealand",+64 9 801 0039,http://tesla.com/,N/A
263,Armstrong's Citroen Lower Hutt,4.3,9,Used car dealer,"Lower Hutt, New Zealand",+64 4 566 8668,https://www.armstrongs.co.nz/dealership/citroen-lower-hutt/,"""Armstrong's Citroen Lower Hutt is your trusted dealership for the greater Wellington & Lower North Island region. Located in Hutt Central, we offer a full range of new & used Citroen cars and a team of expert sales specialists. Our service department...  More"
264,Mr Motors Group New Lynn Branch,4.2,137,Car dealer,"Auckland, New Zealand",+64 21 895 734,https://www.mrmotors.co.nz/,N/A
265,Courtesy Ford Palmerston North,4.5,252,Ford dealer,"Palmerston North, New Zealand",+64 6 356 8089,https://www.courtesyfordmanawatu.co.nz/,N/A
266,Direct Car Imports Ltd,2.1,35,Used car dealer,"Auckland, New Zealand",+64 21 749 886,http://directcarimports.co.nz/,N/A
267,Hawkes Bay Toyota - Hastings,4.1,105,Used car dealer,"Hastings, New Zealand",+64 6 873 0908,http://www.hbtoyota.co.nz/,N/A
268,Levin Kia,4.7,20,Motor vehicle dealer,"Levin, New Zealand",+64 6 367 2204,https://kia.co.nz/find-a-dealer/dealer/levin-kia/,"""Daniel and Kelly Gordon are a husband and wife team, both very passionate about cars and people, with a long history in the motor industry. With six children between them they understand the importance of family and work life balance for their team....  More"
269,NZ Vehicle Imports Wellington,3.7,6,Auto broker,"Wellington, New Zealand",+64 274 610 651,N/A,N/A
270,TRC Toyota Masterton,4.4,40,Toyota dealer,"Masterton, New Zealand",+64 6 370 0688,https://www.toyota.co.nz/manawatu-trc-toyota/,"""TRC Toyota Masterton is your one stop for all your automotive needs – from new and used vehicles, finance, to our full mechanical workshop and access to genuine Toyota Parts and accessories. Our team's commitment to excellence and exceptional...  More"
271,Gazley Mercedes-Benz Wellington,4.4,112,Mercedes,"Wellington, New Zealand",+64 4 385 2244,https://www.mbwellington.co.nz/,N/A
272,HMC Kapiti Limited,4.3,54,Car dealer,"Paraparaumu, New Zealand",+64 4 298 8089,http://www.hmckapiti.co.nz/,"""HMC Kapiti is a family owned and operated company established in 2009 on the Kapiti Coast. In 2021 we opened a second branch, Levin Kia, in the Horowhenua. Both dealerships service all makes and models, however Levin Kia only sells new Kia models,...  More"
273,Cars Connect,3.6,20,Car dealer,"Auckland, New Zealand",+64 21 229 7721,http://www.carsconnect.co.nz/,N/A
274,InterCarNet Ltd,4.9,8,Used car dealer,"Auckland, New Zealand",+64 21 778 533,https://www.intercarnet.co.nz/,N/A
275,Auckland Car Clearance,4.0,4,Used car dealer,"Auckland, New Zealand",+64 9 266 7239,N/A,N/A
276,Capital City Mazda,4.7,254,Used car dealer,"Lower Hutt, New Zealand",+64 4 802 8750,http://www.capitalcitymazda.co.nz/,"""We are one of New Zealand's largest Mazda dealerships and we've been serving the Wellington region since 1923. We're proud of our long history and the strong links that we have developed in the community over the past 100 years. Above all, providing...  More"
277,City Cheap Cars,4.5,2,Car dealer,New Zealand,+64 22 310 5906,http://citycheapcars.co.nz/,"""City Cheap Cars mainly sells Japanese and European cars imported directly from Japan. We have hybrid, petrol, plug-in hybrid, electric and diesel cars. The models include hatchback, sedan, SUV and 7 seaters. We will give customers the best price...  More"
278,GO CARS NZ Ltd,3.8,5,Car dealer,"Whangārei, New Zealand",+64 800 900 785,http://www.gocarsnz.co.nz/,N/A
279,Isuzu Utes New Zealand Ltd - Head Office,3.5,11,Used car dealer,"Auckland, New Zealand",+64 800 478 986,http://www.isuzuutes.co.nz/,"""When the going gets tough - generations have trusted the power and reliability of an Isuzu Ute to get the job done. With over 50 years of truck-making excellence and over 25 million diesel engines built, Isuzu sets the standard when it comes to...  More"
280,"Cars for Sale, Cars for Sale in New Zealand / Car Dealer",N/A,N/A,No reviews,"Katikati, New Zealand",+64 800 730 333,N/A,N/A
281,Tesla Sales Showroom,5.0,4,Car dealer,"Wellington, New Zealand",+64 800 005 431,https://www.tesla.com/en_NZ/findus/location/service/wellingtonngauranga,N/A
282,Regent Motors,4.6,9,Used car dealer,"Palmerston North, New Zealand",+64 6 356 9599,http://www.regentmotors.co.nz/,N/A
283,Wholesale Cars & Hiace Vans,3.7,3,Used car dealer,"Christchurch, New Zealand",+64 3 381 8911,N/A,N/A
284,Brendan Foot Supersite,4.3,483,Used car dealer,"Lower Hutt, New Zealand",+64 4 587 0005,https://brendanfoot.co.nz/,N/A
285,Volvo Cars Wellington,4.8,4,Used car dealer,"Wellington, New Zealand",+64 4 384 8779,https://www.armstrongs.co.nz/dealership/volvo-wellington/?utm_source=GOOGLE&utm_medium=GBP&utm_id=APW-VOL,"""Forming part of Armstrong's Wellington, explore Volvo Cars Wellington, your certified Volvo dealer for greater Wellington and Lower North Island regions, offering an extensive inventory of both brand-new and used Volvo cars, supported by a team of...  More"
286,Toyota New Zealand,N/A,N/A,No reviews,"Auckland, New Zealand",N/A,N/A,N/A
287,Armstrong's Jaguar Wellington,3.3,13,Jaguar dealer,"Wellington, New Zealand",+64 4 384 8779,https://www.armstrongs.co.nz/dealership/jaguar-wellington/?utm_source=GOOGLE&utm_medium=GBP&utm_id=APW-JAG,"""Armstrong's Jaguar Wellington is the premier destination for Jaguar vehicles, for greater Wellington and the lower North Island. Being an official Jaguar dealership, we offer an unparalleled selection of new and used Jaguar cars backed by an expert...  More"
288,Gazley MG,3.3,10,Car dealer,"Wellington, New Zealand",+64 4 381 3000,http://www.gazleymg.com/,"""Gazley MG is the home of MG in the Lower North Island. With over 25 years in the Capital, Gazley Motor Group is a staunchly proud Wellington based business with a long history of quality customer service. Representing Volkswagen, SKODA,...  More"
289,Lifestyle Autos,N/A,N/A,No reviews,"New Plymouth, New Zealand",N/A,https://www.japanesecartrade.com/lifestyle/,N/A
290,MIG Cars EV/Hybrid,3.9,15,Used car dealer,"Christchurch, New Zealand",+64 3 365 0959,http://www.migcars.co.nz/,"""We are licensed EV/Hybrid cars specialist dealer in Christchurch, MTA members We can provide competitive interest rates through MTF, FINANCE NOW and other finance facilities. All of our cars are AA Appraisal vehicle, Odometer verified. VINZ...  More"
291,Greenstone Imports NZ LTD,3.4,5,Used car dealer,"Tauranga, New Zealand",+64 7 579 9340,http://www.greenstoneimports.co.nz/,N/A
292,Used Car Guys,2.4,11,Used car dealer,"Christchurch, New Zealand",+64 800 735 569,http://www.usedcarguys.co.nz/,N/A
293,Ebbett Taupo Nissan,3.9,11,Nissan dealer,"Taupō, New Zealand",+64 7 378 4130,https://ebbettnissantaupo.co.nz/,N/A
294,Armstrong's Certified Pre-Owned Tuam Street,5.0,1,Used car dealer,"Christchurch, New Zealand",+64 3 367 2980,https://www.armstrongs.co.nz/dealership/certified-pre-owned-tuam-street?utm_source=GOOGLE&utm_medium=GBP&utm_id=APC-CJD-TUAM,"""Armstrong's Certified Pre-Owned Tuam Street is your local pre-owned dealer for the greater Canterbury region. Located in Christchurch Central City, we offer an extensive range of near new and certified pre-owned cars perfect for navigating the busy...  More"
295,Armstrong's Porsche Wellington,3.5,20,Used car dealer,"Wellington, New Zealand",+64 4 384 8779,https://www.armstrongs.co.nz/dealership/porsche-wellington/?utm_source=GOOGLE&utm_medium=GBP&utm_id=APW-PORSCHE,"""Forming part of Armstrong's Wellington, Armstrong's Porsche Wellington is your one-stop-stop for everything Porsche. Armstrong's Porsche Wellington is your trusted Porsche dealer for the greater Wellington and lower North Island region. Located in...  More"
296,Ingham Prestige - Mercedes Benz,4.2,117,Mercedes,"Hamilton, New Zealand",+64 800 464 426,http://www.mbinghamprestige.co.nz/,"""Ingham Prestige is your premier destination for new and used Mercedes-Benz vehicles. Our dedicated team provides unparalleled service, guiding you through every step of your journey, from selecting the perfect vehicle to ensuring it remains in...  More"
297,Motor Nation,5.0,2,Used car dealer,"Christchurch, New Zealand",+64 22 640 8800,N/A,N/A
298,Ed's Campervans (By Appointment Only),4.8,18,Used car dealer,"Karaka, New Zealand",+64 210 245 2968,N/A,"""Ed's Campervans is a leading stockist of Self-Contained Campervans in Auckland. Owned and operated by Edgar Munro, he has sold vehicles to working holiday makers, students and other travellers to New Zealand for over 12 years. Edgar stocks popular...  More"
299,Turners Trucks & Machinery Auckland,4.3,56,Used truck dealer,"Auckland, New Zealand",+64 9 580 9386,https://www.turners.co.nz/Trucks-Machinery/?utm_source=map.google.com&utm_medium=referral,N/A
300,Gazley Škoda,3.6,7,Skoda dealer,"Wellington, New Zealand",+64 4 381 3000,https://www.gazleyskoda.com/,"""Gazley Skoda is the award winning home of Skoda in the Lower North Island. With over 25 years in the Capital, Gazley Motor Group is a staunchly proud Wellington based business with a long history of quality customer service. Representing SKODA,...  More"
301,nz 4x4,3.4,5,Car dealer,"Auckland, New Zealand",+64 800 777 350,https://www.nz4x4s.nz/,N/A
302,Honda Service Centre Lower Hutt,4.6,89,Car repair and maintenance service,"Lower Hutt, New Zealand",+64 4 569 2145,http://www.honda.co.nz/agent/hutt-valley/,N/A
303,Armstrong's Opel Lower Hutt,5.0,4,Used car dealer,"Lower Hutt, New Zealand",+64 4 566 8668,https://www.armstrongs.co.nz/dealership/opel-lower-hutt/?utm_source=GOOGLE&utm_medium=GBP&utm_id=AWLN-OP,"""Armstrong's Opel Lower Hutt is your trusted dealership for Lower Hutt and the greater Wellington region. Located in Hutt Central, we offer an extensive range of premium new and used Opel cars, perfect for navigating the busy city streets or the...  More"
304,Wellington MINI Garage,4.5,16,MINI dealer,"Wellington, New Zealand",+64 4 499 9030,https://wellingtonminigarage.co.nz/,"""Looking for a MINI in Wellington Look no further than Wellington Mini Garage, the region's official dealership. They zoom ahead with new and used MINI sales, top-notch MINI service centre, and genuine parts and accessories to keep your MINI thrill...  More"
305,Drive Right Cars,1.0,1,Used car dealer,"Auckland, New Zealand",+64 9 217 3395,https://www.driverightcars.co.nz/,N/A
306,Scania New Zealand - Palmerston North,4.6,12,Truck dealer,"Palmerston North, New Zealand",+64 800 767 226,https://www.scania.com/nz/en/home.html,"""From its foundation in 1891, Scania’s culture of continuous innovation has made it one of the world’s leading manufacturers of heavy trucks and buses. From January 1 2019, Scania New Zealand was created to import, distribute and sell heavy trucks...  More"
307,Turners Trucks & Machinery Wellington,3.5,4,Used truck dealer,"Lower Hutt, New Zealand",+64 4 931 1799,https://www.turners.co.nz/Trucks-Machinery/?utm_source=map.google.com&utm_medium=referral,N/A
308,Scania New Zealand - Wellington,4.4,13,Truck dealer,"Lower Hutt, New Zealand",+64 800 957 2264,https://www.scania.com/nz/en/home.html,"""From its foundation in 1891, Scania’s culture of continuous innovation has made it one of the world’s leading manufacturers of heavy trucks and buses. From January 1 2019, Scania New Zealand was created to import, distribute and sell heavy trucks...  More"
309,Bayswater Volkswagen,N/A,N/A,No reviews,"Napier, New Zealand",+64 6 651 3171,https://www.bayswatervolkswagen.co.nz/,N/A
310,Easy Cars Nz,5.0,1,Motor vehicle dealer,"Auckland, New Zealand",+64 274 612 655,N/A,N/A
311,Autowest,5.0,1,Used car dealer,"Auckland, New Zealand",N/A,https://www.japanesecartrade.com/autowest/,N/A
312,Nino motors,3.9,9,Used car dealer,"Auckland, New Zealand",+64 9 820 2950,N/A,N/A
